115年09月18日 每日收盤行情(ETF),,,,,,,,,,,,,,,
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
00400A,主動國泰動能高息,"36,138,014","6,037","538,660,510",14.9,15.01,14.8,15,+,0.43,14.99,284,15,84,0
00401A,主動摩根台灣鑫收,"5,191,049",900,"73,482,736",14.13,14.24,14.09,14.22,+,0.27,14.22,360,14.23,50,0
00402A,主動安聯美國科技,"6,392,489",990,"61,397,228",9.56,9.62,9.56,9.62,+,0.1,9.61,"1,087",9.62,53,0
00403A,主動統一升級50,"316,017,832","41,164","3,246,287,042",10.23,10.34,10.2,10.33,+,0.32,10.32,"3,380",10.33,"3,336",0
00404A,主動聯博動能50,"14,109,627","1,588","136,425,540",9.64,9.72,9.63,9.71,+,0.19,9.7,328,9.71,25,0
00405A,主動富邦台灣龍耀,"111,809,132","23,681","978,198,322",8.65,8.87,8.62,8.87,+,0.44,8.87,990,8.88,"1,411",0
00406A,主動中信台灣收益,"202,589,259","23,575","1,929,954,922",9.47,9.59,9.46,9.59,+,0.28,9.58,"3,617",9.59,"2,745",0
00407A,主動凱基台灣,"51,795,274","5,676","498,583,040",9.53,9.7,9.52,9.7,+,0.35,9.69,"1,546",9.7,"2,325",0
00408A,主動第一金優股息,"1,854,224",282,"19,109,396",10.3,10.34,10.26,10.34,+,0.19,10.34,48,10.35,34,0
00409A,主動復華全球50,"22,181,158","2,337","215,550,856",9.61,9.78,9.61,9.78,+,0.25,9.78,181,9.79,262,0
00410A,主動永豐科技趨勢,"7,071,566","1,033","84,585,312",11.89,12.08,11.85,12.07,+,0.42,12.07,630,12.08,445,0
0050,元大台灣50,"86,731,065","75,962","9,490,829,221",109.6,109.95,108.85,109.85,+,1.8,109.8,939,109.85,556,0
0051,元大中型100,"68,992",451,"10,032,698",145.15,146.15,144.8,145.7,+,1.85,145.75,1,146,2,0
0052,富邦科技,"16,624,775","12,214","1,056,460,486",63.55,63.85,63.2,63.8,+,1.1,63.75,37,63.8,54,0
0053,元大電子,"91,819","1,095","22,533,512",244.15,246.8,244.15,246.8,+,4.85,245.8,1,247.1,34,0
0055,元大MSCI金融,"1,767,396","4,260","88,428,796",51.4,51.4,49.45,50.15,-,0.7,50.1,17,50.15,28,0
0056,元大高股息,"19,305,390","18,441","1,094,784,801",57,57.1,56.35,56.85,+,0.55,56.8,256,56.85,523,0
0057,富邦摩台,"44,703",922,"14,531,957",325.85,327.15,323.65,325.65,+,1.55,325.6,10,330,1,0
0061,元大寶滬深,"81,819",124,"1,962,045",23.99,24.13,23.89,24.13,+,0.25,24.06,1,24.13,71,0
006203,元大MSCI台灣,"21,463",325,"4,240,987",197.8,198.6,197.5,198.5,+,2.7,197.45,10,198.6,1,0
006204,永豐臺灣加權,"22,268",88,"5,220,408",234.45,234.85,234.45,234.85,+,2.2,234.4,1,235.25,2,0
006205,富邦上証,"159,827",191,"6,401,426",39.87,40.2,39.85,40.13,+,0.3,40.1,75,40.19,108,0
006206,元大上證50,"16,933",122,"632,043",37.27,37.49,37.27,37.35,+,0.15,37.33,1,37.45,57,0
006207,復華滬深,"214,166",63,"6,844,632",31.88,32.1,31.88,32.1,+,0.32,32.05,104,32.1,1,0
006208,富邦台50,"3,712,651","9,528","930,300,304",250.55,251.55,249.2,251.2,+,3.8,251.2,5,251.25,1,0
00625K,富邦上証+R,0,0,0,--,--,--,--, ,0,8.35,21,8.46,5,0
00631L,元大台灣50正2,"196,288,375","54,841","7,325,460,407",37.31,37.67,36.91,37.65,+,1.24,37.64,203,37.65,"2,885",0
00632R,元大台灣50反1,"133,872,609","16,973","1,299,478,264",9.71,9.77,9.66,9.67,-,0.17,9.67,"5,228",9.68,721,0
00633L,富邦上証正2,"1,556,349",372,"73,630,967",46.7,47.63,46.69,47.35,+,0.82,47.35,96,47.46,2,0
00634R,富邦上証反1,"12,901",12,"40,795",3.18,3.18,3.15,3.17,-,0.02,3.14,603,3.17,403,0
00635U,期元大S&P黃金,"2,623,875","1,948","117,914,061",44.97,45.09,44.73,45.07,+,0.78,45.06,5,45.07,111,0
00636,國泰中國A50,"180,147",208,"4,910,721",27.48,27.48,27.19,27.31,+,0.13,27.31,98,27.34,1,0
00636K,國泰中國A50+U,200,2,"1,718",8.59,8.59,8.59,8.59,+,0.05,8.47,11,8.64,11,0
00637L,元大滬深300正2,"15,220,643","1,952","295,997,505",19.34,19.66,19.3,19.54,+,0.29,19.54,717,19.55,39,0
00638R,元大滬深300反1,"239,500",9,"1,617,490",6.78,6.78,6.71,6.73,-,0.07,6.71,275,6.73,200,0
00639,富邦深100,"237,860",221,"3,807,090",15.89,16.15,15.87,16.08,+,0.17,16.08,176,16.12,20,0
00640L,富邦日本正2,"32,580",52,"3,495,882",106.7,108.15,106,107.55,+,0.9,107.3,79,107.55,57,0
00641R,富邦日本反1,"2,810,900",73,"10,302,982",3.69,3.7,3.66,3.66,-,0.02,3.65,308,3.66,162,0
00642U,期元大S&P石油,"1,829,340",822,"60,554,700",33.14,33.2,33,33.1,-,0.34,33.07,1,33.1,342,0
00643,群益深証中小,"2,242,791",145,"40,551,738",17.99,18.2,17.99,18.18,+,0.18,18.18,20,18.19,10,0
00643K,群益深証中小+R,"10,000",2,"38,050",3.79,3.82,3.79,3.82,X,0,3.81,26,3.83,5,0
00645,富邦日本,"139,717",274,"8,064,598",57.7,58.15,57.45,57.95,+,0.4,57.85,5,57.95,59,0
00646,元大S&P500,"2,086,029","3,351","159,581,466",76.65,76.7,76.35,76.6,+,0.3,76.55,7,76.6,861,0
00647L,元大S&P500正2,"27,030",62,"3,692,141",136.25,136.95,136.15,136.95,+,1.7,136.95,50,137,1,0
00648R,元大S&P500反1,"617,491",50,"2,431,826",3.94,3.94,3.93,3.93,-,0.03,3.93,713,3.94,31,0
00650L,復華香港正2,"1,424,128",366,"23,161,647",16.08,16.38,16.08,16.32,+,0.36,16.31,21,16.32,27,0
00651R,復華香港反1,"421,598",35,"2,223,886",5.29,5.29,5.26,5.28,-,0.05,5.27,210,5.28,304,0
00652,富邦印度,"173,003",233,"5,532,051",32.01,32.05,31.94,31.97,-,0.03,31.97,2,32,31,0
00653L,富邦印度正2,"56,156",63,"2,424,766",43.16,43.25,43.08,43.13,+,0.11,43.12,1,43.13,40,0
00654R,富邦印度反1,"23,150",6,"160,961",6.98,6.98,6.95,6.96,-,0.02,6.96,169,7,20,0
00655L,國泰中國A50正2,"364,660",143,"11,964,696",32.45,33.14,32.45,33,+,0.53,32.95,3,33,3,0
00656R,國泰中國A50反1,"13,980",5,"82,821",5.93,5.93,5.92,5.92,-,0.06,5.91,269,5.93,581,0
00657,國泰日經225,"166,362",91,"12,803,169",76.6,77.45,76.55,77.2,+,1.35,77.05,150,77.2,1,0
00657K,國泰日經225+U,200,2,"4,874",24.37,24.37,24.37,24.37,+,0.47,24.2,11,24.43,11,0
00660,元大歐洲50,"31,855",84,"1,460,062",45.84,45.85,45.77,45.77,-,0.06,45.77,17,45.9,1,0
00661,元大日經225,"111,039",171,"9,323,226",83.65,84.6,83.5,84.35,+,1.3,84.3,1,84.35,2,0
00662,富邦NASDAQ,"3,871,078","2,756","465,592,189",120.4,120.5,119.85,120.5,+,1.3,120.4,303,120.5,346,0
00663L,國泰臺灣加權正2,"5,615,308","3,501","604,571,976",107.45,108.95,106.5,108.65,+,3.85,108.6,9,108.65,372,0
00664R,國泰臺灣加權反1,"25,902,818","1,202","40,630,055",1.56,1.58,1.56,1.56,-,0.03,1.56,"8,096",1.57,"9,041",0
00665L,富邦恒生國企正2,"7,332,451",596,"65,275,632",8.84,8.96,8.83,8.92,+,0.15,8.92,101,8.93,258,0
00666R,富邦恒生國企反1,"16,110",15,"149,509",9.32,9.32,9.26,9.28,-,0.08,9.26,83,9.28,107,0
00668,國泰美國道瓊,"388,875",150,"23,475,289",60.35,60.5,60.35,60.5,+,0.05,60.45,1,60.5,109,0
00668K,國泰美國道瓊+U,200,2,"3,790",18.95,18.95,18.95,18.95,+,0.11,18.86,11,19.02,11,0
00669R,國泰美國道瓊反1,"1,351,000",47,"7,193,450",5.34,5.34,5.32,5.32,-,0.02,5.32,"3,104",5.33,322,0
00670L,富邦NASDAQ正2,"444,844",623,"88,001,522",197.05,199.35,196.95,199.25,+,5.1,199.2,3,199.25,83,0
00671R,富邦NASDAQ反1,"10,421,998",226,"25,267,358",2.43,2.44,2.41,2.42,-,0.04,2.42,392,2.43,"2,861",0
00673R,期元大S&P原油反1,"25,136,743","2,786","257,262,590",10.22,10.27,10.21,10.26,+,0.11,10.25,301,10.26,747,0
00674R,期元大S&P黃金反1,"193,358",65,"5,429,634",28.02,28.21,27.99,28.01,-,0.52,28.01,1,28.03,111,0
00675L,富邦臺灣加權正2,"1,365,469","1,786","445,616,781",325.7,329.85,322.8,329.2,+,11.5,329.05,1,329.2,39,0
00676R,富邦臺灣加權反1,"13,904,692",881,"74,491,292",5.38,5.39,5.33,5.33,-,0.11,5.33,"1,276",5.35,"1,447",0
00678,群益那斯達克生技,"458,569",194,"19,790,619",43.2,43.28,43.13,43.19,+,0.81,43.17,50,43.19,3,0
00680L,元大美債20正2,"9,714,444",645,"61,532,622",6.32,6.35,6.31,6.33,+,0.13,6.32,"6,979",6.33,43,0
00681R,元大美債20反1,"3,140",4,"68,511",21.82,21.82,21.81,21.81,-,0.24,21.82,150,21.87,204,0
00682U,期元大美元指數,0,0,0,--,--,--,--, ,0,20.66,1,20.67,1,0
00683L,期元大美元指正2,"22,447",8,"487,953",21.72,21.76,21.72,21.76,-,0.05,21.74,33,21.76,18,0
00684R,期元大美元指反1,"2,200",3,"33,048",15.02,15.02,15.02,15.02,-,0.02,14.99,1,15.07,55,0
00685L,群益臺灣加權正2,"266,450,607","41,854","3,279,218,165",12.29,12.45,12.16,12.42,+,0.44,12.41,732,12.42,"7,708",0
00686R,群益臺灣加權反1,"18,804,515",312,"17,941,715",0.96,0.97,0.95,0.95,-,0.02,0.95,"2,243",0.96,"2,245",0
00688L,國泰20年美債正2,"4,138,440",299,"26,144,537",6.31,6.34,6.3,6.32,+,0.13,6.31,15,6.32,"1,306",0
00689R,國泰20年美債反1,"1,131",2,"25,899",22.9,22.9,22.9,22.9,-,0.25,22.87,185,22.91,203,0
00690,兆豐藍籌30,"677,017",606,"54,005,978",79.6,80.25,79.35,80.15,+,2,80.1,4,80.2,6,0
00692,富邦公司治理,"1,110,897","1,274","104,484,049",94,94.5,93.6,94.45,+,1.55,94.4,5,94.45,82,0
00693U,期街口S&P黃豆,"1,133,893",343,"27,079,274",24.05,24.07,23.8,23.8,-,0.44,23.8,82,23.82,10,0
00700,富邦恒生國企,"137,887",136,"2,328,390",16.81,16.93,16.81,16.92,+,0.17,16.9,94,16.92,7,0
00701,國泰股利精選30,"684,191","1,156","28,756,693",42.54,42.54,41.66,42.1,-,0.05,42.09,3,42.1,15,0
00702,國泰標普低波高息,"135,855",84,"3,286,457",24.21,24.23,24.18,24.18,-,0.07,24.17,1,24.18,8,0
00703,台新MSCI中國,"5,173",5,"97,567",18.78,18.88,18.78,18.88,+,0.16,18.86,42,18.88,42,0
00706L,期元大S&P日圓正2,"2,184,691",507,"42,503,614",19.61,19.61,19.32,19.32,-,0.34,19.32,1,19.33,107,0
00707R,期元大S&P日圓反1,"52,000",4,"1,652,580",31.78,31.89,31.76,31.89,X,0,31.74,28,31.88,22,0
00708L,期元大S&P黃金正2,"4,694,785","2,585","371,284,804",79.15,79.55,78.2,79.45,+,2.75,79.4,6,79.45,24,0
00709,富邦歐洲,"52,706",161,"2,097,398",39.85,39.88,39.68,39.75,-,0.13,39.75,27,39.87,10,0
00710B,復華彭博非投等債,"281,821",71,"5,295,923",18.8,18.81,18.78,18.78,-,0.01,18.78,27,18.79,2,0
00711B,復華彭博新興債,"130,074",7,"1,984,379",15.25,15.26,15.24,15.24, ,0,15.25,1,15.28,50,0
00712,復華富時不動產,"112,088,993","24,001","893,587,367",7.99,7.99,7.96,7.97,-,0.05,7.97,"9,308",7.98,"37,239",0
00713,元大台灣高息低波,"7,560,837","5,160","491,342,843",65.05,65.2,64.65,65.1,+,0.15,65.05,74,65.1,44,0
00714,群益道瓊美國地產,"115,460",24,"2,438,900",21.16,21.16,21.12,21.12,-,0.08,21.11,2,21.14,50,0
00715L,期街口布蘭特正2,"3,898,670","1,489","260,920,556",67.4,67.5,66.2,66.6,-,2.4,66.55,14,66.6,125,0
00717,富邦美國特別股,"193,455",161,"2,835,936",14.66,14.67,14.62,14.67,+,0.08,14.66,1,14.67,7,0
00728,第一金工業30,"404,915",470,"28,029,413",68.6,69.75,68.6,69.65,X,0,69.55,11,69.65,2,0
